Work Item Id,Work Item Type,Project Name,Iteration Path,Assigned To,Area Path,Date,Created Date,Activated Date,Resolved Date,Closed Date,Cycle Time Resolved,Changed Date,Iteration Start Date,Iteration End Date,State,State Category,Is Current
3922180,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-29 00:00:00,2022-12-29 00:00:00,2023-01-03 00:00:00,4,2023-01-03 00:00:00,,,Closed,Completed,TRUE
4062523,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-29 00:00:00,2022-12-29 00:00:00,2022-12-29 00:00:00,2023-01-05 00:00:00,6,2023-01-05 00:00:00,,,Closed,Completed,TRUE
4062510,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-29 00:00:00,2023-01-02 00:00:00,2023-01-12 00:00:00,2023-01-30 00:00:00,13,2023-01-30 00:00:00,,,Closed,Completed,TRUE
3922545,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-01-05 00:00:00,2023-01-05 00:00:00,2023-01-06 00:00:00,2,2023-01-06 00:00:00,,,Closed,Completed,TRUE
3981153,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-08 00:00:00,2023-01-06 00:00:00,2023-01-06 00:00:00,2023-01-06 00:00:00,1,2023-01-06 00:00:00,,,Closed,Completed,TRUE
3924407,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-01-06 00:00:00,2023-01-09 00:00:00,2023-01-30 00:00:00,16,2023-01-30 00:00:00,,,Closed,Completed,TRUE
3922128,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-01-11 00:00:00,2023-01-11 00:00:00,2023-02-01 00:00:00,16,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3917531,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-25 00:00:00,2023-01-19 00:00:00,2023-01-19 00:00:00,2023-01-20 00:00:00,2,2023-01-20 00:00:00,,,Closed,Completed,TRUE
3922213,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-01-19 00:00:00,2023-01-19 00:00:00,2023-01-20 00:00:00,2,2023-01-20 00:00:00,,,Closed,Completed,TRUE
3922510,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-01-19 00:00:00,2023-01-19 00:00:00,2023-01-20 00:00:00,2,2023-01-20 00:00:00,,,Closed,Completed,TRUE
3922124,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-01-23 00:00:00,2023-01-23 00:00:00,2023-02-01 00:00:00,8,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3981149,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-08 00:00:00,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-02-01 00:00:00,6,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3922065,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,1,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3922093,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,1,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3922127,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,1,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3922259,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,1,2023-02-01 00:00:00,,,Closed,Completed,TRUE
3922286,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,1,2023-02-01 00:00:00,,,Closed,Completed,TRUE
4374589,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2023-03-07 00:00:00,2023-03-17 00:00:00,2023-03-17 00:00:00,2023-06-16 00:00:00,66,2023-06-16 00:00:00,,,Closed,Completed,TRUE
4571640,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2023-04-24 00:00:00,2023-05-05 00:00:00,2023-05-05 00:00:00,,0,2023-05-05 00:00:00,,,Resolved,InProgress,TRUE
4571636,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2023-04-24 00:00:00,2023-05-05 00:00:00,2023-05-05 00:00:00,,0,2023-06-02 00:00:00,,,Resolved,InProgress,TRUE
4592823,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2023-04-28 00:00:00,2023-05-24 00:00:00,2023-05-25 00:00:00,,0,2023-05-25 00:00:00,,,Resolved,InProgress,TRUE
4429165,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2023-03-20 00:00:00,2023-06-08 00:00:00,2023-06-08 00:00:00,,0,2023-06-12 00:00:00,,,Resolved,InProgress,TRUE
2138276,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465814650,2023-07-18 00:00:00,2021-08-04 00:00:00,2021-08-05 00:00:00,2021-08-06 00:00:00,2021-08-06 00:00:00,1,2021-10-20 00:00:00,,,Closed,Completed,TRUE
1860405,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-05-19 00:00:00,2021-06-07 00:00:00,2021-06-07 00:00:00,2021-06-07 00:00:00,1,2021-06-07 00:00:00,,,Closed,Completed,TRUE
1662733,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-03-25 00:00:00,2021-07-28 00:00:00,2021-07-28 00:00:00,2021-07-28 00:00:00,1,2021-08-25 00:00:00,,,Closed,Completed,TRUE
2075737,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-07-23 00:00:00,2021-08-03 00:00:00,2021-08-03 00:00:00,2021-08-03 00:00:00,1,2021-08-25 00:00:00,,,Closed,Completed,TRUE
2137103,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-08-04 00:00:00,2021-08-10 00:00:00,2021-08-10 00:00:00,2021-08-10 00:00:00,1,2021-08-25 00:00:00,,,Closed,Completed,TRUE
2160740,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-08-09 00:00:00,2021-08-12 00:00:00,2021-08-12 00:00:00,2021-08-12 00:00:00,1,2021-08-25 00:00:00,,,Closed,Completed,TRUE
2161298,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-08-09 00:00:00,2021-08-12 00:00:00,2021-08-12 00:00:00,2021-08-12 00:00:00,1,2023-03-03 00:00:00,,,Closed,Completed,TRUE
2201837,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-09-02 00:00:00,2021-09-02 00:00:00,1,2021-09-02 00:00:00,,,Closed,Completed,TRUE
2176568,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-08-11 00:00:00,2021-08-26 00:00:00,,2021-08-30 00:00:00,3,2021-09-30 00:00:00,,,Closed,Completed,TRUE
2254315,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-09-07 00:00:00,2021-09-08 00:00:00,2021-09-08 00:00:00,2021-09-09 00:00:00,2,2021-09-10 00:00:00,,,Closed,Completed,TRUE
2264006,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-09-09 00:00:00,2021-09-09 00:00:00,2021-09-09 00:00:00,2021-09-13 00:00:00,3,2021-09-13 00:00:00,,,Closed,Completed,TRUE
2244515,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-09-02 00:00:00,2021-09-13 00:00:00,2021-09-13 00:00:00,2021-09-13 00:00:00,1,2021-09-13 00:00:00,,,Closed,Completed,TRUE
2243790,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-09-01 00:00:00,2021-09-13 00:00:00,2021-09-13 00:00:00,2021-09-14 00:00:00,2,2021-09-14 00:00:00,,,Closed,Completed,TRUE
2254370,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-09-07 00:00:00,2021-09-13 00:00:00,2021-09-13 00:00:00,2021-09-14 00:00:00,2,2021-09-14 00:00:00,,,Closed,Completed,TRUE
2246921,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465878480,2023-07-18 00:00:00,2021-09-02 00:00:00,2021-09-13 00:00:00,2021-09-13 00:00:00,2021-09-14 00:00:00,2,2021-11-11 00:00:00,,,Closed,Completed,TRUE
2983547,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899101,2023-07-18 00:00:00,2022-04-13 00:00:00,2022-04-14 00:00:00,2022-04-14 00:00:00,2022-04-14 00:00:00,1,2022-04-14 00:00:00,,,Closed,Completed,TRUE
2982611,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899101,2023-07-18 00:00:00,2022-04-13 00:00:00,2022-04-19 00:00:00,2022-04-19 00:00:00,2022-04-19 00:00:00,1,2022-04-19 00:00:00,,,Closed,Completed,TRUE
